domain	trial	decode_tok_s	accept_len	acc_ratio	ms_step	GB_step	expert_union
cuda	1	56.52	3.88	0.576	68.7	9.95	36.8
cuda	2	63.16	4.25	0.649	67.2	9.74	36.0
cuda	3	63.65	4.28	0.657	67.3	9.75	36.1
triton	1	72.74	5.10	0.820	70.1	10.16	37.6
triton	2	78.88	5.49	0.898	69.6	10.09	37.3
triton	3	75.31	5.27	0.853	69.9	10.13	37.5
algo	1	49.55	3.32	0.465	67.1	9.73	36.0
algo	2	47.02	3.13	0.427	66.7	9.66	35.7
algo	3	49.94	3.36	0.471	67.2	9.74	36.0
math	1	53.10	3.52	0.504	66.3	9.61	35.5
math	2	57.26	3.84	0.567	67.0	9.71	35.9
math	3	60.14	3.98	0.597	66.3	9.60	35.5
science	1	70.05	4.73	0.745	67.5	9.78	36.2
science	2	63.85	4.36	0.671	68.2	9.89	36.5
science	3	47.16	3.17	0.434	67.2	9.75	36.0
prose	1	47.20	3.23	0.446	68.4	9.91	36.6
prose	2	44.83	3.07	0.414	68.5	9.93	36.7
prose	3	47.20	3.19	0.438	67.5	9.79	36.2
